,added_at,artist_id,artist_name,duration_ms,explicit,id,name,popularity,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0JhxFBrpK3EktRCuncWpqx,2017-07-14T21:58:47Z,7nc2JTIfR3eZwXeq3pbwt2,B.Traits,374250.0,False,0JhxFBrpK3EktRCuncWpqx,Still Point - Original Mix,27.0,0.00516,0.744,374250.0,0.729,0JhxFBrpK3EktRCuncWpqx,0.91,8.0,0.149,-7.983,0.0,0.0405,120.011,4.0,0.537
0K87cKmmBpZbF1AH01YrFX,2017-07-18T01:17:34Z,1VqQcYGUzndzUcPP8kw3XT,Boghosian,356054.0,False,0K87cKmmBpZbF1AH01YrFX,Esta Vida,16.0,0.000932,0.812,356055.0,0.811,0K87cKmmBpZbF1AH01YrFX,0.912,10.0,0.0386,-9.933,0.0,0.043,120.003,4.0,0.177
0Kk8qh88QTW7MX0vyy3jxi,2017-07-26T01:25:23Z,5HRGFSrlJruRPZNPbsy57r,Undercatt,447294.0,False,0Kk8qh88QTW7MX0vyy3jxi,Mongrel,18.0,0.113,0.765,447294.0,0.523,0Kk8qh88QTW7MX0vyy3jxi,0.789,7.0,0.11,-11.576,1.0,0.0549,124.984,4.0,0.123
0KwXplh6qCgs218JkH1FCH,2017-06-14T18:17:37Z,3bVYqr2NfmwmL4YJisWhJI,Dubfire,594686.0,False,0KwXplh6qCgs218JkH1FCH,Dios,21.0,0.00426,0.701,594686.0,0.496,0KwXplh6qCgs218JkH1FCH,0.899,1.0,0.0832,-11.234,0.0,0.0549,126.009,4.0,0.607
0L7ZYN6yDii7Wy0xiXOgq3,2017-05-26T13:04:35Z,61wk5KcJO2a9mZFzkmOe0f,John Monkman,351925.0,False,0L7ZYN6yDii7Wy0xiXOgq3,Lacquer,6.0,0.00102,0.799,351926.0,0.901,0L7ZYN6yDii7Wy0xiXOgq3,0.907,1.0,0.541,-8.877,1.0,0.0416,123.997,4.0,0.204
0L9HXK88zxpSkC0YpWOXTL,2017-03-31T15:38:57Z,1UL813H5aj3e8ekE5RqWqc,Tale Of Us,440333.0,False,0L9HXK88zxpSkC0YpWOXTL,Ricordi,0.0,0.934,0.103,440333.0,0.315,0L9HXK88zxpSkC0YpWOXTL,0.907,7.0,0.112,-17.951,0.0,0.0341,81.521,4.0,0.0399
0LHK1kA0eacE3JOvO7RFY7,2017-09-18T17:03:01Z,36oy3scxRLRqG8uptf04vG,Simple Symmetry,449387.0,False,0LHK1kA0eacE3JOvO7RFY7,Chymical Wedding Of Christian Rosenkreutz,8.0,0.0149,0.624,449388.0,0.963,0LHK1kA0eacE3JOvO7RFY7,0.728,7.0,0.221,-8.399,1.0,0.0394,117.985,4.0,0.0735
0LiDychk9lPvq8FaqzinnS,2018-05-21T14:21:32Z,2jRvwiJbpQKnNBXJNZa30D,Soul Keita,336510.0,False,0LiDychk9lPvq8FaqzinnS,"Democracy, I Was Thirsty",38.0,0.448,0.874,336510.0,0.436,0LiDychk9lPvq8FaqzinnS,0.522,0.0,0.109,-9.748,1.0,0.0347,98.991,4.0,0.512
0LvOcbm0LbJlIFA1ldCzvA,2017-06-25T22:11:26Z,14gRo11WOeTXBDcgFr8Ejb,Ansome,352650.0,False,0LvOcbm0LbJlIFA1ldCzvA,Vyken,8.0,0.000588,0.779,352651.0,0.857,0LvOcbm0LbJlIFA1ldCzvA,0.928,6.0,0.374,-8.119,0.0,0.0535,131.984,4.0,0.142
0M2dqeUpxBGm8vujMTMhMV,2017-08-06T02:28:45Z,6hJtgCB3L5cnJSND7sp6GU,Detroit Swindle,476050.0,False,0M2dqeUpxBGm8vujMTMhMV,The Break Up - Original Mix,46.0,0.0355,0.707,476050.0,0.808,0M2dqeUpxBGm8vujMTMhMV,0.0335,8.0,0.671,-9.887,0.0,0.0503,119.996,4.0,0.241
