C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/06/2017,08:00:00,REGULAR,0005614661,0001245763                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/06/2017,12:00:00,REGULAR,0005614661,0001245916                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/06/2017,16:00:00,REGULAR,0005614718,0001245965                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/06/2017,20:00:00,REGULAR,0005615365,0001246023                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/07/2017,00:00:00,REGULAR,0005615524,0001246049                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/07/2017,04:00:00,REGULAR,0005615526,0001246056                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/07/2017,08:00:00,REGULAR,0005615544,0001246120                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/07/2017,12:00:00,REGULAR,0005615545,0001246265                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/07/2017,16:00:00,REGULAR,0005615545,0001246316                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/07/2017,20:00:00,REGULAR,0005615545,0001246376                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/08/2017,00:00:00,REGULAR,0005615545,0001246400                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/08/2017,04:00:00,REGULAR,0005615545,0001246406                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/08/2017,08:00:00,REGULAR,0005615545,0001246466                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/08/2017,12:00:00,REGULAR,0005615545,0001246595                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/08/2017,16:00:00,REGULAR,0005615545,0001246670                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/08/2017,20:00:00,REGULAR,0005615545,0001246763                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/09/2017,00:00:00,REGULAR,0005615545,0001246794                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/09/2017,04:00:00,REGULAR,0005615545,0001246798                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/09/2017,08:00:00,REGULAR,0005615545,0001246858                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/09/2017,12:00:00,REGULAR,0005615545,0001246988                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/09/2017,16:00:00,REGULAR,0005615545,0001247048                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/09/2017,20:00:00,REGULAR,0005615545,0001247122                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/03/2017,00:00:00,REGULAR,0000922187,0003421328                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/03/2017,04:00:00,REGULAR,0000922200,0003421347                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/03/2017,08:00:00,REGULAR,0000922205,0003421421                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/03/2017,12:00:00,REGULAR,0000922249,0003421695                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/03/2017,16:00:00,REGULAR,0000922327,0003422027                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/03/2017,20:00:00,REGULAR,0000922437,0003422316                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/04/2017,00:00:00,REGULAR,0000922505,0003422446                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/04/2017,04:00:00,REGULAR,0000922518,0003422467                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/04/2017,08:00:00,REGULAR,0000922521,0003422492                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/04/2017,12:00:00,REGULAR,0000922553,0003422677                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/04/2017,16:00:00,REGULAR,0000922636,0003422953                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/04/2017,20:00:00,REGULAR,0000922711,0003423205                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/05/2017,00:00:00,REGULAR,0000922764,0003423288                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/05/2017,04:00:00,REGULAR,0000922772,0003423292                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/05/2017,08:00:00,REGULAR,0000922783,0003423579                                            
